key,team_number,nickname,state_prov,name,address,postal_code,gmaps_place_id,gmaps_url,lat,school_name,location_name,website,rookie_year,city,country,lng,alg_ground_intake,cor_intake,auto_cor_L4,max_auto_cor,auto_reef_remove,auto_reef_intake,auto_processor,max_auto_alg,auto_net,tele_cor_L1,tele_cor_L2,tele_cor_L3,tele_cor_L4,tele_reef_remove,tele_reef_intake,tele_processor,tele_net,pit_Endgame,pit_Scout_Notes,db_type,team_scouter,auto_cor_L2,auto_cor_L3,auto_cor_L1
frc10444,10444,Ursa Major,Oregon,Sam Barlow High School,,,,,,Sam Barlow High School,,,2025,Gresham,USA,,Can,Can't,0,1,0,Can't,0,0,0,0,0,0,0,1,Both,1,0,None,,Mecanum,Michael and Yamini,0,0,1
frc1425,1425,Error Code Xero,Oregon,Lam Research/Xerox/TE Connectivity/Verizon/Oregon Institute of Technology/Marie Lamfrom Charitable Foundation/Todd Construction&Wilsonville High School,,97070,,,,Wilsonville High School,,http://www.wilsonvillerobotics.com,2004,Wilsonville,USA,,Can't,Can't,0,0,0,Can't,0,0,0,0,0,0,0,0,Can't,0,0,None,,Swerve,,0,0,0
frc1540,1540,Flaming Chickens,Oregon,Polymaker/Autodesk/Marie Lamfrom Charitable Foundation/FIRST Washington&Catlin Gabel School,,97225,,,,Catlin Gabel School,,http://www.team1540.org/,2005,Portland,USA,,Can,Both Ways,1,3,0,Can't,0,0,0,1,1,1,1,1,Both,1,1,Deep Climb,,Swerve,Michael and Yamini,0,0,0
frc1844,1844,The Eggineers,Oregon,Polymaker/Argosy Foundation/FIRST Washington&Catlin Gabel School,,,,,,Catlin Gabel School,,,2005,Portland,USA,,Can,Both Ways,0,0,1,Both,1,0,1,1,1,1,0,1,Both,1,1,None,Has no auto,Swerve,anvi,0,0,0
frc2471,2471,Team Mean Machine,Washington,US Digital/Fisher Investments/Analog Devices/Protech Composites/The Boeing Company/Hewlett Packard/WA OSPI/Camas Washougal Rotary/Wafertech/United Precision Corp&Camas High School&Hockinson High School&Washougal High School&Discovery High School,,98607,,,,Discovery High School & Camas High School & Washougal High School & Hockinson High School,,http://www.team2471.org/,2008,Camas,USA,,Can't,Both Ways,1,3,0,Can't,0,0,0,1,1,1,1,1,Can't,0,0,Deep Climb,Three autos,Swerve,Michael and Yamini,1,0,0
frc2557,2557,SOTAbots,Washington,OSPI/Tacoma School District/FIRST Washington/Fuchs Foundation/Dexcare/Puget Sound Marine Services/F5/Olympic Kennel Club/Zumar Industries Incorporated/Bralco Aluminum Company/Elements of Education Partners/Hewitt Cabinetry/Tacoma Fire Department&Tacoma School of the Arts&Science & Math Institute&Industrial Design Engineering and Art High School,,98408,,,,Industrial Design Engineering and Art High School & Science & Math Institute & Tacoma School of the Arts,,http://www.sotabots.com,2008,Tacoma,USA,,Can't,Ground,0,0,0,Can't,0,0,0,1,1,1,1,0,Can't,1,0,Deep Climb,Just built robot...nit testedbmuch,Swerve,anvi,0,0,0
frc2635,2635,Lake Monsters,Oregon,LAM Research/Intel/Boeing/Mentor Graphics/DWFritz/WA FIRST Robotics/Really Big Video/Markforged&Lake Oswego High School&Lakeridge High School,,97034,,,,Lakeridge High School & Lake Oswego High School,,https://www.frc2635.org,2008,Lake Oswego,USA,,Can,Station,0,0,0,Can't,0,0,0,1,1,1,1,1,Both,1,0,Deep Climb,They can only leave in auto,Swerve,Michael and Yamini,0,0,0
frc2733,2733,Pigmice,Oregon,Daimler/Terrazign/Boeing/Comcast/Clackamas Steel + Mfg/Autodesk/TE Connectivity/The Confidentiality Group/Tokyo Electron Ltd/Cleveland Alumni Association/Lam Research/URS Electronics/Hankins Hardware/Oregon Blue Print&Cleveland High School,,97202,,,,Cleveland High School,,https://www.pigmice.com,2009,Portland,USA,,Can,Station,0,0,0,Can't,0,0,0,1,1,1,1,1,Both,1,1,Deep Climb,Has no auto- can only move out of lines,Swerve,Vaani,0,0,0
frc2898,2898,Flying Hedgehogs,Oregon,LAM Research/Intel/UL/Natalie Lee/Fidelity Charitable Donald Marumoto Memorial Fund/SolidWorks/ODE Oregon Dept of Education/Southwest Trailer Service/Friends of Japan/Copperforge/BPS Robotics & Family/Community,,97006,,,,Family/Community,,http://www.team2898.bpsrobotics.org,2009,Portland,USA,,Can't,Station,0,1,0,Can't,0,0,0,1,1,1,1,1,Both,1,0,None,,Swerve,Michael and Yamini,0,0,1
frc2915,2915,Pandamonium,Oregon,Autodesk / Riverdale PTC / Covanta / Lumencor / Intel & Riverdale High School,,97219,,,,Riverdale High School,,http://team2915.com,2009,Portland,USA,,Can't,Station,0,1,0,Can't,0,0,0,1,1,1,1,0,Can't,1,0,None,"Unreliable, cant climb
",Swerve,Anvi,0,0,1
