key,team_number,nickname,school_name,address,postal_code,name,gmaps_url,lat,gmaps_place_id,lng,location_name,website,rookie_year,country,city,state_prov,team_scouter,pit_auto_place,db_type,pit_auto_cor_L3,pit_auto_cor_L4,pit_auto_cor_L1,pit_auto_reef_intake,pit_max_auto_alg,pit_auto_processor,pit_auto_net,pit_tele_cor_L1,pit_max_auto_cor,pit_tele_cor_L4,pit_tele_reef_remove,pit_tele_reef_intake,pit_tele_processor,pit_tele_net,pit_Endgame,pit_Scout_Notes,pit_tele_cor_L2,pit_tele_cor_L3,pit_auto_reef_remove,pit_auto_cor_L2,pit_alg_ground_intake,pit_cor_intake,ba_opr,ba_dpr,ba_ccwms
frc10079,10079,Arrowdynamics,Bothell High School,,,Northshore School District/SPEEA/Boeing/OSPI/NASA/FIRST WA/Gene Haas Foundation/Argosy Foundation/Bothell High School/Dunn Lumber/NW Folklife/Electroimpact/Cottage Lake Elementary PTSA&Bothell High School,,,,,,,2025,USA,Bothell,Washington,anvi,1,Swerve,0,1,0,Can't,0,0,0,0,3,1,1,Can't,1,0,None,,1,1,0,0,Can,Station,0,0,0
frc10416,10416,Radical Raccoons,Spokane Valley Tech Skills Center,,,Hagan Foundation&Spokane Valley Tech Skills Center,,,,,,,2025,USA,Spokane Valley,Washington,Aa,1,Swerve,0,1,0,Can't,0,0,0,0,1,1,1,Can't,0,0,None,,1,1,0,0,Can't,Ground,0,0,0
frc1318,1318,Issaquah Robotics Society,Issaquah High School,,98027,Boeing/Microsoft/Office of Superintendent of Public Instruction - OSPI/Issaquah Schools Foundation &Issaquah High School,,,,,,http://www.team1318.org,2004,USA,Issaquah,Washington,Cayden,1,Swerve,0,1,0,L2,0,0,0,1,3,1,1,Both,0,1,Deep Climb,13 cycle average ,1,1,1,0,Can't,Station,0,0,0
frc1425,1425,Error Code Xero,Wilsonville High School,,97070,Lam Research/Xerox/TE Connectivity/Verizon/Oregon Institute of Technology/Marie Lamfrom Charitable Foundation/Todd Construction&Wilsonville High School,,,,,,http://www.wilsonvillerobotics.com,2004,USA,Wilsonville,Oregon,Aa,1,Swerve,0,1,0,Both,1,1,1,1,3,1,1,Both,1,1,Deep Climb,Us,1,1,1,0,Can't,Station,0,0,0
frc1540,1540,Flaming Chickens,Catlin Gabel School,,97225,Polymaker/Autodesk/Marie Lamfrom Charitable Foundation/FIRST Washington&Catlin Gabel School,,,,,,http://www.team1540.org/,2005,USA,Portland,Oregon,Anvi,1,Swerve,0,0,1,Can't,0,0,0,1,4,1,1,Both,1,1,Deep Climb,,1,1,1,0,Can,Ground,0,0,0
frc1778,1778,Chill Out,Mountlake Terrace High School,,98043,"Edmonds School District/Alderwood Terrace Rotary Club/OSPI/Swerve Drive Specialties/West Coast Products/Holland America Line/Gene Haas Foundation/Philips Ultrasound/Lynnwood Rotary/Puget Sound Plumbing & Heating/Cedar Plaza Ace Hardware/TAP Plastics/Surety Security/Boeing/SPEEA/Skapa Landscaping, LLC&Mountlake Terrace High School",,,,,,http://www.chillout1778.org/,2006,USA,Mountlake Terrace,Washington,avani,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,1,1,None,unsure if they have algae auto,1,1,0,0,Can,Ground,0,0,0
frc2046,2046,Bear Metal,Tahoma Senior High School,,98038,Washington State OSPI/The Truck Shop/1-800-Got-Junk/West Coast Products&Tahoma Senior High School,,,,,,http://tahomarobotics.org/,2007,USA,Maple Valley,Washington,Cayden,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,1,1,Deep Climb,,1,1,0,0,Can,Ground,0,0,0
frc2147,2147,CHUCK,West Valley High School,,99212,True Seals/Spokane Valley Rotary Club/Independent Dealers Education Association&West Valley High School,,,,,,http://chuck2147.com,2007,USA,Spokane,Washington,Aa,0,Swerve,0,1,0,Both,2,0,1,1,1,1,1,Both,1,1,Deep Climb,,1,1,1,0,Can,Station,0,0,0
frc2412,2412,Robototes,Sammamish High School,,98005,"Office of the Superintendent of Public Instruction/Sammamish Robotics Boosters/NASA/FIRST Washington/Boeing/Gene Haas Foundation/ElectroImpact/The Eng Family/Miso, Bordie, and Clyde/Bellevue Schools Foundation/Intellectual Ventures/TheNiftyBot.com&Sammamish High School",,,,,,http://first.robototes.com,2008,USA,Bellevue,Washington,anvi,0,Swerve,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,0,Can't,Can't,0,0,0
frc2471,2471,Team Mean Machine,Discovery High School & Camas High School & Washougal High School & Hockinson High School,,98607,US Digital/Fisher Investments/Analog Devices/Protech Composites/The Boeing Company/Hewlett Packard/WA OSPI/Camas Washougal Rotary/Wafertech/United Precision Corp&Camas High School&Hockinson High School&Washougal High School&Discovery High School,,,,,,http://www.team2471.org/,2008,USA,Camas,Washington,Rubi and Elie,1,Swerve,1,0,0,Both,1,0,1,1,4,1,1,Both,1,1,Deep Climb,,1,1,1,0,Can,Both Ways,0,0,0
frc2522,2522,Royal Robotics,Lynnwood High School,,98012,Microsoft/OSPI/The Boeing Company/SPEEA/Honeycutt Manufacturing/Exotic Tool Welding Inc. & Lynnwood High School,,,,,,http://www.royalrobotics.org,2008,USA,Bothell,Washington,Cayden,0,Swerve,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,0,Can't,Can't,0,0,0
