key,comp_level,set_number,match_number,team_key,a_Proc,start_Pos_5isBlue,a_reefAlgae,a_L1,t_Defense,t_timeFrozen,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,a_L3,end_Pos,a_L4,auto_Notes,tele_Notes,endgame_Notes,match_Scouter,a_L2,stuck_on_alg,a_Leave,a_Net,no_show,r1,b2,b3,ba_redscore,ba_bluescore,r2,r3,b1,ba_winning_alliance,ba_autoCoralPoints,ba_autoLineRobot1,ba_autoLineRobot2,ba_autoLineRobot3,ba_autoMobilityPoints,ba_autoPoints,ba_bargeBonusAchieved,ba_coopertitionCriteriaMet,ba_coralBonusAchieved,ba_endGameBargePoints,ba_endGameRobot1,ba_endGameRobot2,ba_endGameRobot3,ba_foulCount,ba_foulPoints,ba_g206Penalty,ba_g410Penalty,ba_g418Penalty,ba_g428Penalty,ba_netAlgaeCount,ba_rp,ba_techFoulCount,ba_teleopCoralCount,ba_teleopCoralPoints,ba_teleopPoints,ba_totalPoints,ba_wallAlgaeCount,ba_adjustPoints,ba_algaePoints,ba_autoBonusAchieved,ba_autoCoralCount
2025pncmp_qm1,qm,1,1,frc1778,0,4,0,0,0,0,3,3,0,3,3,2,3,0,None,2,great automode with two coral scored.,very well rounded and versatile robot in terms of scoring coral and algae. efficient elevator mechanism and capable of ground collect.,didn't park and kept on contributing to filling up the reef.,naman,0,0,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,44,Yes,Yes,Yes,9,53,1,1,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,5,6,0,46,133,181,234,2,0,32,1,7
2025pncmp_qm1,qm,1,1,frc6831,0,5,0,0,0,0,1,0,0,0,5,0,1,0,Park,0,Tried to remove algae but failed and missed one from the processor,"Very slow and unrelible intake and placment, but they move fast",continued scoring and parked,Aarush V,0,0,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,44,Yes,Yes,Yes,9,53,1,1,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,5,6,0,46,133,181,234,2,0,32,1,7
2025pncmp_qm1,qm,1,1,frc2910,0,5,0,0,0,0,0,0,2,3,4,7,2,2,Deep Climb,2,"Auto was really quick, initially placed one coral on l4, and ground collected 3 more coral that is in front of the driver station propping algae","Used extremely quick and efficient ground collect with quick placing cycles. Mostly placed on l2 (7), some on l3 (4), 3 on l4, 2 on l1, and has reliable algae grabbing, and scored 2 in the processor.","At the end (with around 7 seconds left), deep climbed, and extremely quick at the blink of an eye, literally.",Dev Sharma,0,0,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,44,Yes,Yes,Yes,9,53,1,1,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,5,6,0,46,133,181,234,2,0,32,1,7
2025pncmp_qm1,qm,1,1,frc360,0,4,0,0,0,0,0,0,0,2,0,2,2,0,Deep Climb,2,Jitters when placing in auto,"very inaccurate, missed over 5+ coral when try to place on L4, slow at collecting ",pretty good at deep climb,Cayden,0,0,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,17,Yes,Yes,Yes,9,26,1,1,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,2,2,0,11,29,75,101,2,0,20,1,3
2025pncmp_qm1,qm,1,1,frc2412,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Deep Climb,0,For their auto they attempted to only score once on l4. But they missed and the coral did not fall out.,"they were innificent an did not adapt well. They scored once then a coral got stuck and they could not do any more coral, then they played some defense which was not that effective. Then they transitioned back. But their was a time where they were not doing anything. ",They were able to climb they had a lot of time to line up but only climbed last second.,Hendrix Day,0,40,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,17,Yes,Yes,Yes,9,26,1,1,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,2,2,0,11,29,75,101,2,0,20,1,3
2025pncmp_qm1,qm,1,1,frc9567,0,4,1,1,0,0,1,0,2,0,0,0,3,0,Deep Climb,0,"Auto went smoothly, placed one coral and removed one algae","Had consistent working mechanisms, drive pretty slow,had a hard time  rotating at times.","Took about 13 seconds to climb, spent most time lining up, stayed in climb ",Avani Patel,0,0,1,0,0,frc1778,frc2412,frc9567,234,101,frc6831,frc2910,frc360,red,17,Yes,Yes,Yes,9,26,1,1,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,2,2,0,11,29,75,101,2,0,20,1,3
2025pncmp_qm10,qm,1,10,frc1425,0,4,0,0,0,0,1,0,0,0,4,2,6,0,Deep Climb,1,somehow only got one coral because robot malfunctioned and drove back to station without even ejecting coral.,amazing and efficient coral cycles on all levels except l4 and we were a great contribution to the team. yaayyy!!,we deep climbed with great timing. not too early or late.,naman,0,0,1,0,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,42,Yes,Yes,Yes,9,51,1,1,1,26,DeepCage,Parked,DeepCage,0,12,0,0,0,0,8,6,0,49,140,210,273,2,0,44,1,6
2025pncmp_qm10,qm,1,10,frc3663,0,4,0,0,0,0,3,5,0,1,2,3,1,0,Deep Climb,3,3 coral auto; almost placing the 4th,very fast and reliable coral and algae placement,"took the entire endgame to climb, but spared 9 sec",Aarush Vegesna,0,0,1,0,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,42,Yes,Yes,Yes,9,51,1,1,1,26,DeepCage,Parked,DeepCage,0,12,0,0,0,0,8,6,0,49,140,210,273,2,0,44,1,6
2025pncmp_qm10,qm,1,10,frc2910,0,1,0,0,0,0,2,1,2,4,6,6,6,0,Deep Climb,2,"Auto was good, placed two coral on l4, but wasn't able to ground collect two coral for l3, due to moving algae.","Was really good, had extremely fast cycle time (3 seconds), got a total of 21 coral on the reef. Also removed 2 algae, put those two in the processor, and one algae in the net.",Deep climbed in literally one second.,Dev Sharma,0,0,1,0,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,42,Yes,Yes,Yes,9,51,1,1,1,26,DeepCage,Parked,DeepCage,0,12,0,0,0,0,8,6,0,49,140,210,273,2,0,44,1,6
2025pncmp_qm10,qm,1,10,frc5937,0,3,1,1,0,0,3,7,2,0,0,0,0,0,Deep Climb,0,Only 1 barge with coral,algae only robot,Deep climb,cayden,0,0,1,1,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,9,Yes,Yes,Yes,9,18,1,1,1,16,DeepCage,Parked,Parked,0,0,0,0,0,0,10,3,2,19,68,136,154,2,0,52,1,2
2025pncmp_qm10,qm,1,10,frc2471,0,4,1,0,0,0,1,0,0,1,4,4,0,1,Park,0,They removed an algae while scoring l3. Attempted station collected,"very fast l2 and l3.others are slower. Very good at removing alage. Slow on other levels. Sometimes inconsistent and volitaile, banging into things missing. Could ground collect pretty good"," parked did not climb, might have failed",Hendrix Day,0,0,1,0,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,9,Yes,Yes,Yes,9,18,1,1,1,16,DeepCage,Parked,Parked,0,0,0,0,0,0,10,3,2,19,68,136,154,2,0,52,1,2
2025pncmp_qm10,qm,1,10,frc9446,0,2,0,0,0,0,0,0,0,3,0,0,2,0,Park,0,"Rewatch, I was not Able to see","had some trouble with accuracy, very close to tipping over because of height",Seemingly made an attempt to climb but ran out of Time,Ave,0,0,0,0,0,frc1425,frc2471,frc9446,273,154,frc3663,frc2910,frc5937,red,9,Yes,Yes,Yes,9,18,1,1,1,16,DeepCage,Parked,Parked,0,0,0,0,0,0,10,3,2,19,68,136,154,2,0,52,1,2
